Year,Production Capacity (tons),Raw Material Cost ($/ton),Market Demand (Index: 1-100),Price per Unit ($),Retail Channels (Stores),Economic Index (1-100),Sales Price ($/ton)
2015,5000,1200,70,2.5,100,65,1800
2016,5200,1250,72,2.6,110,67,1850
2017,5400,1300,75,2.7,120,69,1900
2018,5600,1280,78,2.8,130,72,1950
2019,5800,1350,80,3,140,74,2000
2020,6000,1400,82,3.2,150,70,1980
2021,5900,1380,85,3.3,160,75,2100
2022,6100,1450,88,3.5,170,78,2200
2023,6300,1500,90,3.6,180,80,2250
2024,6500,1550,92,3.8,190,83,2300
